Days,Predicted Sales
1237,2545.060242818124
1238,2546.1716902854396
1239,2547.2831377527555
1240,2548.3945852200713
1241,2549.5060326873872
1242,2550.6174801547027
1243,2551.728927622018
1244,2552.840375089334
1245,2553.95182255665
1246,2555.0632700239653
1247,2556.1747174912807
1248,2557.2861649585966
1249,2558.3976124259125
1250,2559.5090598932284
1251,2560.620507360544
1252,2561.731954827859
1253,2562.843402295175
1254,2563.954849762491
1255,2565.0662972298064
1256,2566.177744697122
1257,2567.2891921644377
1258,2568.4006396317536
1259,2569.5120870990695
1260,2570.623534566385
1261,2571.7349820337004
1262,2572.8464295010162
1263,2573.957876968332
1264,2575.0693244356476
1265,2576.180771902963
1266,2577.292219370279
